1,Rumah Sakit Akademik UGM,"APD, Nutrisi, Sarpras & sterilisasi",Sleman,DI Yogyakarta,Mandiri 888800083040683 Donasi COVID-19 RSA UGM--BNI 9888800083040918 Donasi COVID-19 RSA UGM--BRI 7888800083040792 Donasi COVID-19 RSA UGM,Hubungi kontak,"0813 2727 7609 (Annisa, S.Farm,Apt)--0815 6821 3444 (Yusmiyati, S.Gz)--085 6775 5791 (Dewi Sarastuti, A.md)",https://www.instagram.com/p/B-Gu-0NhSdF/,4,0,1,1,
2,RS Muhammadiyah Selogiri,APD,Wonogiri,Jawa Tengah,Mandiri Syariah 7126827371 Amin Rosyidi,Hubungi kontak,081 2263 7401--0273 5327504,https://www.instagram.com/p/B-HIwpNFPjX/,4,,1,1,
3,Puskesmas Kecamatan Senen,"APD, Hand Sanitizer",Jakarta Pusat,DKI Jakarta,Disalurkan langsung melalui Puskesmas Kecamatan Senen ,Hubungi kontak,0812 9109 8539 (Drg. Rifqi)--0857 1977 7454 (Diaz),https://www.instagram.com/wecare6224/,4,,1,1,
4,Puskesmas Pondok Rumput,Hand Sanitizer dan APD,Bogor,Jawa Barat,Bantuan diserahkan langsung ke Puskesmas Pondok Rumput,Hubungi kontak,082122810660 (dr. Ery Rahmawaty),https://www.instagram.com/p/B-E7fc1gz_E/,57,,1,1,
5,RSUD Bendan Pekalongan,"APD, Hand Sanitizer, Disifektan, Multivitamin",Pekalongan,Jawa Tengah,Bantuan diserahkan langsung ke RSUD Bendan Pekalongan,Hubungi kontak,0285 437222 (telp)--0285 437155 (fax),https://www.instagram.com/p/B-HRGZGHqrV/,57,,1,1,
6,RS Islam Malahayati,APD,Medan,Sumatera Utara,Bantuan diserahkan langsung ke RS Islam Malahayati,Hubungi kontak,081375464688 (dr. Lidya),https://www.instagram.com/p/B-IwSZWnKG4/,57,,1,1,
7,RS Syafira,"APD, Hand Sanitizer, Masker, dll",,Riau,Hubungi kontak,Hubungi kontak,08117687733 (dr. Citra)--08986419655 (Nini),https://www.instagram.com/p/B-FKmylBjIL/,"4,57",,1,1,
8,RSUD Petala Budi,APD,,Riau,Mandiri 1080014737390 Ikatan Dokter Indonesia Wilayah Riau,Hubungi kontak,0823 8934 4472,https://www.instagram.com/p/B-L6kjdB7GC/,4,,1,1,
9,RS PENA 98,"APD, Vitamin, Susu UHT ",Bogor,Jawa Barat,Hubungi kontak,Hubungi kontak,081284920101 (dr. Ivoni Pollatu)--087883020909 (Richard),https://www.instagram.com/p/B-Nyg26DKuH/,57,,1,1,
10,RSU 'Aisyiyah Ponorogo,"APD, Alkohol, Hand Sanitizer, Safety Googles, Sabun Antiseptic, Suplement/Vitamin, Masker N95 dan bedah, Sepatu Boot Panjang",Ponorogo,Jawa Timur,Hubungi kontak,Hubungi kontak,"081234810874 (Nurinda Fitrianawati, S.Farm, Apt)",https://www.instagram.com/p/B-Onb2Bn-OL/,57,,1,1,
11,RS Stella Maris Makasar,"Masker N-95, Masker Bedah, Handschoen disposible, Gaun petugas, Kacamata Goggle, Topi disposible, Handschoen Panjang, Handschoen Sterik No.7, Handschoen Steril No. 7.5, Face Shield, Shoes Cover, Sepatu Boot, Baju Cover All, Handrub/ Handsanitizer, Vitamin, Susu siap minum, Bayclin, dan Bantuan dalam bentuk lain.",Makasar,Sulawesi Selatan,Bantuan diserahkan langsung ke RS Stella Maris Makasar,Hubungi kontak,"08124137018 (dr.Jerny Julianty)--081245918020 (Sr. Christina Mislina, SJMJ",https://www.instagram.com/p/B-N-8haJhIb/,57,,1,1,
12,RS St. Carolus,APD,Jakarta Pusat,DKI Jakarta,Mandiri 894940000230320 Perhimpunan Sint. Carolus (DONASI COVID19 RS ST CAROLUS)--BCA 09960202303 Perhimpunan Sint. Carolus (DONASI COVID19 RS ST CAROLUS)--BRI 176501000002300 Perhimpunan Sint. Carolus,"Hubungi kontak dan pada BANK BRI tambahkan angka ""19"" diakhir nominal transfer.",082114124754 (Keuangan RS St. Carolus/Novita),https://www.instagram.com/p/B-JhKUyjlTn/,4,,1,1,
13,RSUD. Hj. ANNA LASMANAH BANJARNEGARA,"Masker N95 & bedah, Respirator, Sarung Tangan Karet, Pelindung Wajah, Kacamata Pelindung, Penutup Sepatu, Jubah Penutup Badan/ Jas Hujan Sekali pakai, Sepatu Boot Karet, Termometer Tembak, VTM (Viral Transport Medium), Antiseptik Handrub, Hand Sanitizer",Banjarnegara,Jawa Tengah,Bantuan diserahkan langsung ke RSUD. Hj. ANNA LASMANAH BANJARNEGARA,Hubungi kontak,"081327051658 (Aziz, Apt)--08122880625 (Iis, Apt)",https://www.instagram.com/p/B-PU9x0pJmr/,57,,1,1,
14,RSUD Soreang,Bantuan Penanganan Covid-19,Bandung,Jawa Barat,Bantuan diserahkan langsung ke RSUD Soreang,Hubungi kontak,"082129137469 (Insaniah, S.Si, Apt)",https://www.instagram.com/p/B-Of-yBpsXa/,57,,1,1,
15,RSUD Wates ,"Masker N95 & bedah, Coverall Jumpsuit, Face Shield, Kacamata Goggle, Sepatu Boots, Sarung Tangan, Shoes Cover, Desinfektan, Hand Sanitizer, Multivitamin, dll",Kulon Progo,DI Yogyakarta,Bantuan diserahkan langsung ke RSUD Wates,Hubungi kontak,08156872612 (Very)--082243164515 (Suni)--08112541742 (Slamet),https://www.instagram.com/p/B-GvTUdgVto/,57,,1,1,
